Date,Close,Open,High,Low,Volume
"Dec 31, 2019",21883.42,21936.26,21965.82,21883.42,76510000
"Dec 30, 2019",21936.26,22058.99,22062.7,21928.96,138560000
"Dec 27, 2019",22058.99,21981.09,22058.99,21950.2,149730000
"Dec 24, 2019",21981.09,21843.35,21981.09,21824.01,62120000
"Dec 23, 2019",21843.35,21674.3,21928.26,21673.64,175540000
"Dec 20, 2019",21674.3,21666.14,21683.16,21570.29,524540000
"Dec 19, 2019",21666.14,21663.13,21687.07,21613.96,296850000
"Dec 18, 2019",21663.13,21690.2,21691.58,21539.02,322080000
"Dec 17, 2019",21690.2,21920.69,21922.22,21542.95,411220000
"Dec 16, 2019",21920.69,21507.79,21935.33,21505.12,535060000
"Dec 13, 2019",21507.79,20793.03,21910.75,20792.9,782880000
"Dec 12, 2019",20793.03,20647.11,20821.78,20642.57,452810000
"Dec 11, 2019",20647.11,20781.09,20791.4,20460.89,375990000
"Dec 10, 2019",20781.09,20922.64,20929.47,20714.71,367880000
"Dec 09, 2019",20922.64,20933.03,20935.88,20801.99,440840000
"Dec 06, 2019",20933.03,20707.33,20933.03,20707.33,304700000
"Dec 05, 2019",20707.33,20665.48,20738.02,20615.92,338250000
"Dec 04, 2019",20665.48,20500.93,20665.48,20464.32,299600000
"Dec 03, 2019",20500.93,20700.21,20705.92,20394.21,333330000
"Dec 02, 2019",20700.21,20812.6,20869.77,20655.73,316490000
"Nov 29, 2019",20812.6,21023.55,21028.89,20812.6,226670000
"Nov 28, 2019",21023.55,20954.32,21029.84,20888.65,238110000
"Nov 27, 2019",20954.32,20864.92,20959.51,20807.11,307040000
"Nov 26, 2019",20864.92,20703.17,20864.92,20686.1,514420000
"Nov 25, 2019",20703.17,20485.81,20703.17,20483.38,297610000
"Nov 22, 2019",20485.81,20369.86,20508.65,20346.27,299940000
"Nov 21, 2019",20369.86,20475.25,20475.25,20240.47,328520000
"Nov 20, 2019",20475.25,20528.48,20528.48,20368.06,263570000
"Nov 19, 2019",20528.48,20440.5,20672.84,20440.5,326250000
"Nov 18, 2019",20440.5,20404.4,20524.27,20388.16,224860000
"Nov 15, 2019",20404.4,20231.8,20404.4,20165.2,248160000
"Nov 14, 2019",20231.8,20289.78,20312.09,20231.47,252520000
"Nov 13, 2019",20289.78,20427.17,20427.17,20205.96,294940000
"Nov 12, 2019",20427.17,20410.03,20434.34,20336.03,372680000
"Nov 11, 2019",20410.03,20357.63,20418.5,20225.88,214420000
"Nov 08, 2019",20357.63,20433.22,20433.22,20312.97,215420000
"Nov 07, 2019",20433.22,20216.59,20439.42,20216.59,278720000
"Nov 06, 2019",20216.59,20294.99,20308.47,20156.98,243090000
"Nov 05, 2019",20294.99,20249.72,20294.99,20216.7,280520000
"Nov 04, 2019",20249.72,20158.77,20271.5,20158.77,225580000
"Nov 01, 2019",20158.77,20021.5,20158.77,20021.26,264720000
"Oct 31, 2019",20021.5,20115.1,20155.08,20021.5,280740000
"Oct 30, 2019",20115.1,20168.33,20168.84,20042.99,240560000
"Oct 29, 2019",20168.33,20210.16,20212.14,20108.31,223130000
"Oct 28, 2019",20210.16,20103.51,20215.13,20081.18,195650000
"Oct 25, 2019",20103.51,20152.15,20153.99,19970.23,267620000
"Oct 24, 2019",20152.15,20180.94,20256.01,20104.14,282090000
"Oct 23, 2019",20180.94,20181.91,20212.28,20084.67,307170000
"Oct 22, 2019",20181.91,20308.79,20334.87,20178.51,406500000
"Oct 21, 2019",20308.79,20228.53,20374.57,20152.25,348330000
