Date,Close,Open,High,Low,Volume
"Dec 31, 2019",3745.15,3746.61,3749.1,3738.45,220700000
"Dec 30, 2019",3748.47,3780.44,3780.44,3748.47,186800000
"Dec 27, 2019",3782.27,3776.82,3794.93,3775.26,244400000
"Dec 24, 2019",3774.39,3774.13,3774.66,3770.91,154200000
"Dec 23, 2019",3776.66,3775.07,3778.98,3767.8,230600000
"Dec 20, 2019",3776.56,3740.71,3776.56,3738.22,848500000
"Dec 19, 2019",3739.17,3741.53,3747.34,3722.57,356100000
"Dec 18, 2019",3739,3744,3755.81,3739,334800000
"Dec 17, 2019",3745.28,3769.14,3769.14,3742.62,372300000
"Dec 16, 2019",3772.74,3738.91,3778.47,3738.91,300200000
"Dec 13, 2019",3731.07,3720.65,3765.7,3720.65,492800000
"Dec 12, 2019",3706.35,3689.67,3723.6,3675.63,405000000
"Dec 11, 2019",3687.45,3667.45,3692.11,3659.53,266200000
"Dec 10, 2019",3671.78,3671.97,3675.88,3625,285800000
"Dec 09, 2019",3672.18,3691.86,3691.86,3671.07,264500000
"Dec 06, 2019",3692.34,3653.23,3692.71,3653.23,291100000
"Dec 05, 2019",3648.13,3663,3683.07,3648.13,253800000
"Dec 04, 2019",3660.02,3611.95,3665.9,3611.95,321600000
"Dec 03, 2019",3610.99,3635.15,3647.52,3594.8,376700000
"Dec 02, 2019",3626.66,3703.76,3729.74,3623.12,446600000
"Nov 29, 2019",3703.58,3699.34,3719.83,3686.94,287700000
"Nov 28, 2019",3704.48,3707.05,3708.16,3698.22,208800000
"Nov 27, 2019",3712.85,3708.71,3721.76,3704.49,275400000
"Nov 26, 2019",3705.55,3708.43,3711.75,3694.7,427800000
"Nov 25, 2019",3707.68,3697.49,3710.87,3697.49,235800000
"Nov 22, 2019",3687.32,3682.22,3709.88,3682.22,318900000
"Nov 21, 2019",3679.66,3675.75,3688.37,3651.51,301800000
"Nov 20, 2019",3683.88,3688.86,3688.86,3663.21,307700000
"Nov 19, 2019",3696.56,3704.88,3733.45,3688.59,298300000
"Nov 18, 2019",3704.92,3711.18,3716.79,3687.3,297500000
"Nov 15, 2019",3711.61,3698.06,3713.26,3690.06,334500000
"Nov 14, 2019",3688.81,3699.73,3702.94,3687.27,316700000
"Nov 13, 2019",3699.5,3710.74,3710.74,3679.63,396000000
"Nov 12, 2019",3712.2,3700.49,3719.4,3700.11,349800000
"Nov 11, 2019",3696.82,3696.97,3702.78,3683.33,315700000
"Nov 08, 2019",3699.65,3703.35,3706.91,3687.99,420300000
"Nov 07, 2019",3706.68,3694.97,3708.65,3694.97,445800000
"Nov 06, 2019",3688.74,3675.43,3692.2,3671.24,423000000
"Nov 05, 2019",3676.52,3666.54,3678.63,3661.21,481600000
"Nov 04, 2019",3665.21,3631.45,3671.81,3631.45,418000000
"Nov 01, 2019",3623.74,3610.22,3633.64,3607.68,277900000
"Oct 31, 2019",3604.41,3625.36,3631.87,3593.6,449400000
"Oct 30, 2019",3620.29,3616.25,3624.53,3596.3,427400000
"Oct 29, 2019",3622.09,3625.53,3625.99,3611.77,347400000
"Oct 28, 2019",3625.69,3623.84,3637.94,3614.83,314600000
"Oct 25, 2019",3624.68,3622.79,3631.04,3604.4,321700000
"Oct 24, 2019",3621.37,3611.62,3626.88,3607.84,516300000
"Oct 23, 2019",3606.89,3595.78,3608.63,3585.76,363100000
"Oct 22, 2019",3604.82,3600.94,3609.34,3586.64,321500000
"Oct 21, 2019",3600.08,3583.37,3608.95,3578.81,346000000
"Oct 18, 2019",3579.41,3587.4,3596.71,3571.01,348000000
"Oct 17, 2019",3588.62,3595.73,3630.43,3588.62,443100000
"Oct 16, 2019",3599.25,3600.76,3610.44,3588.09,467200000
"Oct 15, 2019",3598.65,3562.39,3610.31,3562.39,428100000
"Oct 14, 2019",3556.26,3565.38,3565.38,3531.23,258500000
"Oct 11, 2019",3569.92,3494.78,3569.92,3490.52,476300000
"Oct 10, 2019",3493.96,3469.99,3501.19,3445.44,357400000
"Oct 09, 2019",3462.11,3433.17,3473.92,3427.77,252500000
"Oct 08, 2019",3432.76,3473.24,3476.46,3426.82,289600000
"Oct 07, 2019",3471.24,3442.14,3471.88,3433.87,247700000
"Oct 04, 2019",3446.71,3423.75,3446.71,3406.44,320700000
"Oct 03, 2019",3417.37,3414.14,3431.24,3398.64,323500000
"Oct 02, 2019",3413.31,3516.88,3516.88,3413.31,460500000
"Oct 01, 2019",3518.25,3573.08,3588.68,3518.25,353300000
"Sep 30, 2019",3569.45,3545.07,3570.15,3536.91,349200000
"Sep 27, 2019",3545.88,3534.47,3553.25,3534.47,272600000
"Sep 26, 2019",3532.18,3509.8,3538.16,3506.05,307500000
"Sep 25, 2019",3513.03,3526.84,3526.84,3480.28,353800000
"Sep 24, 2019",3532.05,3542.53,3547.98,3531.65,298200000
"Sep 23, 2019",3536.97,3565.96,3565.96,3526.26,351100000
"Sep 20, 2019",3571.39,3552.73,3578.04,3546.3,871600000
"Sep 19, 2019",3552.65,3527.5,3554.87,3524.37,348300000
"Sep 18, 2019",3528.04,3520.88,3536.65,3518.01,320200000
"Sep 17, 2019",3521.26,3517.57,3527,3506.36,386500000
"Sep 16, 2019",3518.45,3540.47,3540.47,3518.45,393200000
"Sep 13, 2019",3550.11,3539.93,3555.85,3534.38,447600000
"Sep 12, 2019",3538.86,3522.04,3555.1,3512.59,510200000
"Sep 11, 2019",3516.82,3502.24,3520.95,3502.24,440900000
"Sep 10, 2019",3498.99,3493.8,3501.68,3479.58,463100000
"Sep 09, 2019",3495.02,3495.85,3503.05,3486.75,346200000
"Sep 06, 2019",3495.19,3484.86,3495.87,3479.62,352800000
"Sep 05, 2019",3484.7,3453.99,3488.48,3453.99,401100000
"Sep 04, 2019",3450.83,3424.98,3461.06,3424.98,360600000
"Sep 03, 2019",3420.74,3432.22,3432.22,3406.55,284300000
"Sep 02, 2019",3432.54,3426.24,3442.71,3426.24,200100000
"Aug 30, 2019",3426.76,3412.45,3443.08,3412.11,391700000
"Aug 29, 2019",3411.33,3362.12,3415.36,3356.68,427900000
"Aug 28, 2019",3365.38,3363.51,3368.23,3334.07,287700000
"Aug 27, 2019",3370.47,3348.84,3380.88,3334.49,366300000
"Aug 26, 2019",3348.84,3329.73,3360.93,3318.33,271800000
"Aug 23, 2019",3334.25,3382.31,3394.21,3334.25,355200000
"Aug 22, 2019",3373.67,3390.05,3405.35,3366.44,321100000
"Aug 21, 2019",3394.89,3353.66,3400.06,3353.66,277400000
"Aug 20, 2019",3350.23,3368.21,3379.96,3341.23,298700000
"Aug 19, 2019",3369.19,3332.93,3377.76,3332.93,347400000
"Aug 16, 2019",3329.08,3286.54,3333.44,3286.54,599400000
"Aug 15, 2019",3282.78,3294.5,3306.88,3239.2,435600000
"Aug 14, 2019",3288.7,3358.12,3358.73,3276.01,452700000
"Aug 13, 2019",3357.16,3324.36,3380.81,3298.32,451700000
"Aug 12, 2019",3326.55,3340.82,3370.63,3318.66,318600000
"Aug 09, 2019",3333.74,3366.29,3367.43,3326.73,462400000
"Aug 08, 2019",3375.38,3323.77,3375.38,3323.77,367900000
"Aug 07, 2019",3309.99,3301.31,3339.07,3283.13,436300000
"Aug 06, 2019",3291.66,3310.08,3337.54,3291.66,377700000
"Aug 05, 2019",3310.93,3365.49,3365.49,3302.3,469500000
"Aug 02, 2019",3376.12,3473,3473,3368.66,564800000
"Aug 01, 2019",3490.03,3458.01,3491.16,3451.6,387500000
"Jul 31, 2019",3466.85,3464.69,3477.35,3458.11,378100000
